Frame,Person,Keypoint,X,Y
337,0,7,tensor(1184.1907),tensor(608.5694)
337,0,8,tensor(937.1327),tensor(487.2439)
337,0,9,tensor(839.5851),tensor(670.3651)
337,0,10,tensor(700.5972),tensor(576.5995)
337,0,11,tensor(1099.5382),tensor(720.)
337,0,12,tensor(984.0016),tensor(716.7419)
337,0,13,tensor(792.3835),tensor(658.4912)
337,0,14,tensor(664.5168),tensor(612.8110)
337,0,15,tensor(819.1692),tensor(720.)
337,0,16,tensor(767.3726),tensor(676.0350)
338,0,0,tensor(915.4645),tensor(21.6230)
338,0,1,tensor(936.1566),tensor(0.)
338,0,2,tensor(921.3990),tensor(0.)
338,0,3,tensor(1043.4988),tensor(0.)
338,0,4,tensor(993.0504),tensor(5.6299)
338,0,5,tensor(1196.7084),tensor(182.8665)
338,0,6,tensor(1028.7515),tensor(165.0375)
338,0,7,tensor(1188.0062),tensor(605.3140)
338,0,8,tensor(943.2581),tensor(484.6519)
338,0,9,tensor(847.4195),tensor(669.5651)
338,0,10,tensor(702.8152),tensor(575.5559)
338,0,11,tensor(1116.4231),tensor(720.)
338,0,12,tensor(996.5242),tensor(720.)
338,0,13,tensor(830.3384),tensor(668.3813)
338,0,14,tensor(681.4534),tensor(617.8436)
338,0,15,tensor(854.4673),tensor(720.)
338,0,16,tensor(779.9865),tensor(684.2675)
339,0,0,tensor(925.9804),tensor(20.9198)
339,0,1,tensor(946.8618),tensor(0.)
339,0,2,tensor(932.8954),tensor(0.)
339,0,3,tensor(1054.5179),tensor(0.)
339,0,4,tensor(1004.9968),tensor(3.1298)
339,0,5,tensor(1203.2322),tensor(177.9774)
339,0,6,tensor(1038.9099),tensor(161.6129)
339,0,7,tensor(1187.7026),tensor(600.3595)
339,0,8,tensor(946.1552),tensor(484.9342)
339,0,9,tensor(849.1028),tensor(667.5223)
339,0,10,tensor(705.3440),tensor(573.3591)
339,0,11,tensor(1119.7714),tensor(720.)
339,0,12,tensor(1003.6302),tensor(716.0458)
339,0,13,tensor(812.5776),tensor(663.6440)
339,0,14,tensor(678.2382),tensor(616.4402)
339,0,15,tensor(828.7380),tensor(720.)
339,0,16,tensor(777.2364),tensor(681.6798)
340,0,0,tensor(936.2200),tensor(19.8243)
340,0,1,tensor(956.7694),tensor(0.)
340,0,2,tensor(940.0112),tensor(0.)
340,0,3,tensor(1060.2186),tensor(0.)
340,0,4,tensor(1007.0023),tensor(0.)
340,0,5,tensor(1207.9973),tensor(175.7117)
340,0,6,tensor(1044.0725),tensor(161.9362)
340,0,7,tensor(1190.3901),tensor(595.3811)
340,0,8,tensor(949.5319),tensor(484.6786)
340,0,9,tensor(845.0345),tensor(657.9291)
340,0,10,tensor(707.1437),tensor(569.9844)
340,0,11,tensor(1134.6321),tensor(720.)
340,0,12,tensor(1018.0601),tensor(717.6840)
340,0,13,tensor(829.7703),tensor(663.8812)
340,0,14,tensor(692.8112),tensor(618.8758)
340,0,15,tensor(835.5341),tensor(720.)
340,0,16,tensor(775.6765),tensor(683.6547)
341,0,0,tensor(943.6468),tensor(24.7066)
341,0,1,tensor(961.9949),tensor(0.)
341,0,2,tensor(947.5422),tensor(0.)
341,0,3,tensor(1060.0122),tensor(0.)
341,0,4,tensor(1015.2100),tensor(0.)
341,0,5,tensor(1212.1772),tensor(169.5665)
341,0,6,tensor(1046.9230),tensor(152.4322)
341,0,7,tensor(1188.2004),tensor(594.8188)
341,0,8,tensor(953.8748),tensor(483.1776)
341,0,9,tensor(842.8406),tensor(650.9524)
341,0,10,tensor(711.6614),tensor(564.8230)
341,0,11,tensor(1139.3033),tensor(720.)
341,0,12,tensor(1022.7691),tensor(713.3746)
341,0,13,tensor(841.3251),tensor(678.0883)
341,0,14,tensor(705.9028),tensor(622.9386)
341,0,15,tensor(837.2369),tensor(720.)
341,0,16,tensor(782.2178),tensor(681.6742)
342,0,0,tensor(942.1442),tensor(35.7054)
342,0,1,tensor(959.7737),tensor(0.)
342,0,2,tensor(941.7611),tensor(10.4325)
342,0,3,tensor(1060.2753),tensor(0.)
342,0,4,tensor(1008.3199),tensor(0.8100)
342,0,5,tensor(1222.3405),tensor(150.7667)
342,0,6,tensor(1050.6782),tensor(147.8398)
342,0,7,tensor(1199.4272),tensor(585.1572)
342,0,8,tensor(962.9661),tensor(484.3006)
342,0,9,tensor(840.5472),tensor(654.0831)
342,0,10,tensor(710.2001),tensor(556.6823)
342,0,11,tensor(1176.8558),tensor(720.)
342,0,12,tensor(1053.8156),tensor(720.)
342,0,13,tensor(902.8241),tensor(688.3549)
342,0,14,tensor(755.7305),tensor(642.8333)
342,0,15,tensor(921.5975),tensor(720.)
342,0,16,tensor(848.9144),tensor(684.9789)
343,0,0,tensor(941.6143),tensor(27.7101)
343,0,1,tensor(962.6422),tensor(0.)
343,0,2,tensor(941.9260),tensor(0.9669)
343,0,3,tensor(1069.6904),tensor(0.)
343,0,4,tensor(1005.6837),tensor(0.)
343,0,5,tensor(1221.9724),tensor(155.1316)
343,0,6,tensor(1049.5208),tensor(147.5330)
343,0,7,tensor(1194.3618),tensor(583.2441)
343,0,8,tensor(962.8611),tensor(476.5907)
343,0,9,tensor(841.9341),tensor(650.5097)
343,0,10,tensor(714.5520),tensor(549.3039)
343,0,11,tensor(1183.3331),tensor(720.)
343,0,12,tensor(1055.5770),tensor(720.)
343,0,13,tensor(934.3068),tensor(680.7555)
343,0,14,tensor(769.4295),tensor(639.9535)
343,0,15,tensor(947.1307),tensor(720.)
343,0,16,tensor(852.3916),tensor(683.8301)
344,0,0,tensor(956.3640),tensor(27.9948)
344,0,1,tensor(975.3066),tensor(0.)
344,0,2,tensor(958.3234),tensor(0.8570)
344,0,3,tensor(1078.2216),tensor(0.)
344,0,4,tensor(1025.3903),tensor(0.)
344,0,5,tensor(1229.6589),tensor(147.2161)
